            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s                VLM1 -   16.0°-60.00m/s    
    0.9008254         -6872.733      0.9008254          -3240.59      0.9008254          413.5931      0.9008254          4085.364      0.9008254          7770.249      0.9008254          11463.76      0.9008254          15161.39      0.9008254          18858.65      0.9008254          22551.02      0.9008254          26234.01      0.9008254          29903.13      0.9008254           33553.9      0.9008254          37181.89      0.9008254          40782.67      0.9008254          44351.85      0.9008254           47885.1      0.9008254          51378.09      0.9008254          54826.57      0.9008254          58226.35      0.9008254          61573.29      0.9008254           64863.3      0.9008254          68092.37      0.9008254          71256.57      0.9008254          74352.06      0.9008254          77375.04      0.9008254          80321.85      0.9008254          83188.89  
     1.494537         -5443.916       1.494537         -2559.554       1.494537          342.2934       1.494537          3258.091       1.494537          6184.286       1.494537          9117.314       1.494537           12053.6       1.494537          14989.57       1.494537          17921.64       1.494537          20846.25       1.494537          23759.82       1.494537          26658.82       1.494537           29539.7       1.494537          32398.96       1.494537          35233.11       1.494537           38038.7       1.494537          40812.32       1.494537          43550.58       1.494537          46250.15       1.494537          48907.74       1.494537           51520.1       1.494537          54084.07       1.494537          56596.51       1.494537          59054.36       1.494537          61454.63       1.494537          63794.39       1.494537           66070.8  
     2.078039         -4214.424       2.078039          -1969.91       2.078039          288.1884       2.078039          2557.122       2.078039          4834.125       2.078039          7116.424       2.078039          9401.238       2.078039          11685.78       2.078039          13967.28       2.078039          16242.94       2.078039             18510       2.078039          20765.69       2.078039          23007.27       2.078039             25232       2.078039          27437.18       2.078039          29620.11       2.078039          31778.14       2.078039          33908.65       2.078039          36009.02       2.078039          38076.71       2.078039          40109.19       2.078039          42103.99       2.078039          44058.68       2.078039          45970.88       2.078039          47838.25       2.078039          49658.53       2.078039          51429.49  
     2.647346         -3180.868       2.647346         -1473.006       2.647346          245.1704       2.647346          1971.568       2.647346          3704.083       2.647346          5440.604       2.647346          7179.017       2.647346          8917.203       2.647346          10653.04       2.647346          12384.43       2.647346          14109.24       2.647346          15825.38       2.647346          17530.76       2.647346          19223.31       2.647346          20900.95       2.647346          22561.64       2.647346          24203.37       2.647346          25824.13       2.647346          27421.95       2.647346          28994.88       2.647346             30541       2.647346          32058.43       2.647346          33545.32       2.647346          34999.86       2.647346          36420.28       2.647346          37804.85       2.647346          39151.88  
     3.198569         -2333.214       3.198569         -1065.893       3.198569          209.0592       3.198569          1490.088       3.198569          2775.634       3.198569           4064.13       3.198569          5354.006       3.198569          6643.692       3.198569          7931.615       3.198569          9216.206       3.198569           10495.9       3.198569          11769.14       3.198569          13034.37       3.198569          14290.06       3.198569          15534.66       3.198569          16766.67       3.198569          17984.59       3.198569          19186.92       3.198569          20372.22       3.198569          21539.02       3.198569          22685.91       3.198569           23811.5       3.198569          24914.41       3.198569          25993.29       3.198569          27046.84       3.198569          28073.77       3.198569          29072.82  
     3.727943         -1656.421       3.727943         -742.3679       3.727943          177.1671       3.727943          1101.063       3.727943          2028.195       3.727943          2957.433       3.727943          3887.645       3.727943          4817.697       3.727943          5746.457       3.727943          6672.793       3.727943          7595.577       3.727943          8513.683       3.727943          9425.994       3.727943           10331.4       3.727943          11228.79       3.727943          12117.08       3.727943          12995.19       3.727943          13862.04       3.727943          14716.57       3.727943          15557.76       3.727943          16384.57       3.727943          17195.99       3.727943          17991.04       3.727943          18768.74       3.727943          19528.16       3.727943          20268.36       3.727943          20988.45  
     4.231851         -1131.974       4.231851         -493.9196       4.231851          147.9413       4.231851          792.8266       4.231851          1439.951       4.231851          2088.525       4.231851           2737.76       4.231851          3386.863       4.231851          4035.045       4.231851          4681.516       4.231851          5325.488       4.231851          5966.176       4.231851            6602.8       4.231851          7234.584       4.231851          7860.759       4.231851          8480.561       4.231851          9093.235       4.231851          9698.036       4.231851          10294.23       4.231851          10881.08       4.231851          11457.88       4.231851          12023.92       4.231851          12578.52       4.231851          13121.01       4.231851           13650.7       4.231851          14166.98       4.231851          14669.19  
     4.706851          -739.268       4.706851         -310.5673       4.706851          120.6735       4.706851           553.929       4.706851          988.6714       4.706851          1424.371       4.706851          1860.497       4.706851          2296.518       4.706851          2731.903       4.706851          3166.121       4.706851          3598.644       4.706851          4028.943       4.706851          4456.496       4.706851          4880.781       4.706851          5301.282       4.706851          5717.485       4.706851          6128.885       4.706851          6534.978       4.706851          6935.272       4.706851          7329.278       4.706851          7716.516       4.706851          8096.515       4.706851          8468.811       4.706851          8832.951       4.706851           9188.49       4.706851          9534.997       4.706851          9872.049  
     5.149698         -456.8395       5.149698         -181.5985       5.149698           95.2588       5.149698          373.3952       5.149698          652.4717       5.149698          932.1484       5.149698          1212.085       5.149698          1491.939       5.149698          1771.371       5.149698           2050.04       5.149698          2327.606       5.149698          2603.731       5.149698           2878.08       5.149698          3150.317       5.149698          3420.111       5.149698          3687.133       5.149698          3951.058       5.149698          4211.564       5.149698          4468.334       5.149698          4721.056       5.149698           4969.42       5.149698          5213.126       5.149698          5451.875       5.149698          5685.376       5.149698          5913.346       5.149698          6135.507       5.149698          6351.588  
     5.557368         -263.4272       5.557368         -96.20322       5.557368          71.99128       5.557368          240.9513       5.557368          410.4711       5.557368           580.344       5.557368          750.3631       5.557368          920.3213       5.557368          1090.011       5.557368          1259.227       5.557368          1427.761       5.557368           1595.41       5.557368          1761.967       5.557368          1927.232       5.557368          2091.001       5.557368          2253.077       5.557368           2413.26       5.557368          2571.357       5.557368          2727.174       5.557368          2880.522       5.557368          3031.213       5.557368          3179.065       5.557368          3323.896       5.557368          3465.532       5.557368          3603.798       5.557368          3738.527       5.557368          3869.555  
     5.927076         -138.8644       5.927076         -44.01078       5.927076          51.38461       5.927076          147.2056       5.927076          243.3354       5.927076          339.6569       5.927076          436.0527       5.927076          532.4055       5.927076          628.5978       5.927076          724.5125       5.927076          820.0326       5.927076          915.0417       5.927076          1009.424       5.927076          1103.065       5.927076           1195.85       5.927076          1287.667       5.927076          1378.402       5.927076          1467.947       5.927076          1556.191       5.927076          1643.028       5.927076           1728.35       5.927076          1812.056       5.927076          1894.041       5.927076          1974.208       5.927076          2052.457       5.927076          2128.694       5.927076          2202.825  
     6.256295         -64.81111       6.256295         -15.53984       6.256295          34.00678       6.256295           83.7684       6.256295          133.6844       6.256295          183.6939       6.256295          233.7361       6.256295            283.75       6.256295          333.6745       6.256295           383.449       6.256295          433.0127       6.256295          482.3053       6.256295          531.2666       6.256295          579.8372       6.256295          627.9578       6.256295          675.5697       6.256295          722.6149       6.256295          769.0362       6.256295           814.777       6.256295          859.7815       6.256295          903.9949       6.256295          947.3634       6.256295          989.8341       6.256295          1031.355       6.256295          1071.876       6.256295          1111.348       6.256295          1149.722  
     6.542778         -25.34225       6.542778         -2.573107       6.542778          20.31942       6.542778          43.30745       6.542778          66.36296       6.542778          89.45787       6.542778           112.564       6.542778          135.6533       6.542778          158.6976       6.542778          181.6687       6.542778          204.5388       6.542778          227.2799       6.542778          249.8644       6.542778          272.2647       6.542778          294.4535       6.542778          316.4039       6.542778           338.089       6.542778          359.4824       6.542778          380.5581       6.542778          401.2904       6.542778          421.6541       6.542778          441.6243       6.542778          461.1766       6.542778          480.2874       6.542778          498.9333       6.542778          517.0915       6.542778            534.74  
     6.784567         -7.401707       6.784567          1.535522       6.784567          10.51902       6.784567          19.53786       6.784567          28.58103       6.784567          37.63752       6.784567           46.6963       6.784567          55.74633       6.784567          64.77659       6.784567          73.77607       6.784567          82.73381       6.784567          91.63889       6.784567          100.4805       6.784567          109.2478       6.784567          117.9301       6.784567          126.5169       6.784567          134.9977       6.784567          143.3622       6.784567          151.6002       6.784567          159.7016       6.784567          167.6566       6.784567          175.4554       6.784567          183.0886       6.784567           190.547       6.784567          197.8213       6.784567          204.9027       6.784567          211.7826  
      6.98001         -1.106951        6.98001          1.639263        6.98001          4.398705        6.98001          7.168013        6.98001          9.943814        6.98001          12.72273        6.98001          15.50136        6.98001          18.27634        6.98001          21.04427        6.98001          23.80179        6.98001          26.54554        6.98001          29.27217        6.98001          31.97836        6.98001          34.66082        6.98001          37.31627        6.98001          39.94149        6.98001          42.53327        6.98001          45.08845        6.98001          47.60393        6.98001          50.07663        6.98001          52.50355        6.98001          54.88172        6.98001          57.20826        6.98001          59.48032        6.98001          61.69514        6.98001          63.85002        6.98001          65.94234  
     7.127773         0.1721125       7.127773         0.7303893       7.127773          1.291031       7.127773          1.853353       7.127773          2.416672       7.127773          2.980301       7.127773          3.543553       7.127773          4.105742       7.127773          4.666183       7.127773          5.224193       7.127773          5.779093       7.127773          6.330206       7.127773          6.876861       7.127773          7.418391       7.127773          7.954138       7.127773          8.483449       7.127773          9.005678       7.127773          9.520189       7.127773          10.02636       7.127773          10.52356       7.127773           11.0112       7.127773          11.48868       7.127773          11.95541       7.127773          12.41083       7.127773          12.85439       7.127773          13.28554       7.127773          13.70375  
     7.226846        0.08621355       7.226846         0.1328499       7.226846         0.1796341       7.226846         0.2265094       7.226846         0.2734184       7.226846         0.3203042       7.226846         0.3671095       7.226846         0.4137774       7.226846         0.4602509       7.226846         0.5064735       7.226846         0.5523889       7.226846         0.5979411       7.226846         0.6430746       7.226846         0.6877344       7.226846         0.7318661       7.226846          0.775416       7.226846         0.8183309       7.226846         0.8605587       7.226846         0.9020478       7.226846         0.9427477       7.226846         0.9826088       7.226846          1.021583       7.226846          1.059621       7.226846          1.096679       7.226846          1.132711       7.226846          1.167672       7.226846           1.20152  
     7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0       7.276552                 0  

